"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","category","setSize","enrichmentScore","NES","rank","leading_edge","core_enrichment"
"GO:0019221","cytokine-mediated signaling pathway","173/1789","436/12599",0.396788990825688,2.79437925959354,15.512445095353,8.32263213131463e-41,4.36938186894018e-37,3.23443766619091e-37,"TANK/EBI3/LILRB2/ADAR/PIAS3/IFITM3/YAP1/CXCL13/IFITM2/TNFSF13B/TRAF3IP2/LILRB1/LILRB4/LILRA1/IRAK3/USP18/TREX1/NLRP3/CARD16/CISH/RFFL/TRIM6/CCR7/CMKLR1/IL31RA/CSF2RA/CSF2RB/CSF3/CREBRF/CYLD/EDN1/EREG/ACSL1/FCER1G/FOXC1/FOXO3/FLT3/UBR4/CLCF1/SIN3A/STAP1/NKIRAS2/TBK1/HCK/HIF1A/BIRC3/HSPA1A/HSPA1B/STING1/IFI27/IFNAR1/IFNAR2/IFNGR2/TICAM2/LILRA5/FAS/IL1A/IL1B/IL2RA/IL2RB/IL3RA/IL4R/IL6/IL6ST/IL7/IL7R/IL10RA/IL12B/IL12RB1/IL13RA1/IL15/IL15RA/IL18/INHBA/CXCL10/IRAK2/IRF1/IRF7/JAK1/JAK2/JAK3/LIFR/LYN/CXCL9/MMP12/MX1/NFKB1/NFKBIA/OAS1/OAS2/OAS3/OSM/IRAK4/PDGFB/IL20RB/PARP14/ACKR3/PTPN1/PTPN2/PTPRJ/RELA/ROBO1/CEACAM1/CCL1/CCL2/CCL3/CCL3L1/CCL4/CCL5/CCL7/CCL8/CCL15/CCL18/CCL19/CCL23/CCL24/CXCL6/CXCL11/CXCL12/SECTM1/CRLF2/IFIH1/CXCR5/NFKBIZ/AZI2/SP100/SRC/STAT1/STAT2/STAT3/STAT4/TNF/TNFAIP3/TNFRSF1A/TRAF1/TRAF2/TRAF5/TNFRSF4/VRK2/WNT5A/GSDMD/ZBP1/TRIM56/CASP1/CASP3/PARP9/CASP4/CASP5/ULK1/CASP8/NLRC5/SPPL2A/IFITM1/CAV1/OASL/SOCS1/TRADD/RIPK1/RIPK2/SOCS2/SPHK1/NOL3/SOCS3/OSMR/CD7/RPS6KA5/SLIT2/AIM2/CD40/CD44/ISG15/IKBKE/CD70",173,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0009617","response to bacterium","172/1789","489/12599",0.351738241308793,2.47711017453856,13.5530915804335,9.96030687766292e-33,2.61458055538652e-29,1.93544489433324e-29,"MICA/OPTN/CD96/LILRB2/TNIP1/NOD1/IFI44/CXCL13/RBCK1/LILRB1/ARID5A/ADAMTS5/PLAAT3/IRAK3/USP18/NLRP3/CARD16/GBP4/GBP5/LRG1/TRIM6/CCR7/CMPK2/ADM/CSF2RB/CSF3/CYLD/CYP2E1/CYP27B1/CD55/TMEM229B/ABCA1/EDN1/AHR/EPHB2/FCAR/FCER1G/FCGR2B/IKZF3/FKBP5/SBNO2/SYT11/FOSL2/FPR2/IL27/STAP1/CLEC4E/GBP1/GBP2/GBP3/GCH1/ANKRD1/SLC9A9/TBK1/CD274/CXCL2/HCK/ANXA3/HLA-A/HLA-B/HLA-E/CLEC4D/IFNAR1/IGHM/TICAM2/IL1A/IL1B/IL6/IL7R/CXCL8/IL10RA/IL12B/IL18/IDO1/CXCL10/IRAK2/JAK2/ARG2/GBP7/LBP/LYN/CXCL9/MMP7/CD200/ASS1/NFKB1/NFKB2/NFKBIA/NFKBIB/OAS1/OAS2/OAS3/IRAK4/PLAC8/PDE4B/CHMP5/IL23A/CFP/PI3/TREM1/PPBP/FAM20A/HERC6/BANK1/RNF31/PRKCE/B2M/PELI1/ZNFX1/PTAFR/PTGER2/PTGIR/RNF213/RELA/BCL3/S100A8/S100A9/S100A12/CFB/CCL2/CCL20/CXCL6/CXCL5/NOD2/NFKBIZ/BLVRA/BMP2/NCF1/BMP6/SLC22A4/BNIP3/TAP2/TLR2/TLR3/TNF/TNFAIP3/TNFRSF1A/C2/C3/C4B/ACOD1/VGF/VIL1/WNT5A/DHX58/GSDMD/TNIP3/ZC3H12A/PDCD1LG2/SLC7A5/H2BC8/CASP1/H2BC21/CASP3/CASP4/PLA2G6/CASP7/CASP8/NLRC5/COXFA4L3/TRIM5/CAV1/RIPK2/RAB29/CD14/MS4A1/CD80/CD86/ADAMTS4/CD40/ISG15/CD79B",172,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0002250","adaptive immune response","147/1789","388/12599",0.378865979381443,2.66815677709715,13.5775132934929,4.69734544463618e-32,8.22035452811332e-29,6.08512259003396e-29,"ADA/MICA/EBI3/LILRB2/BTN3A3/BATF/CXCL13/CD226/TNFSF13B/TRAF3IP2/LILRB1/ARID5A/LILRB4/LILRA1/RIPK3/BTN3A2/BTN3A1/TREX1/NLRP3/CLU/RNF19B/CR1L/CSF2RB/CTSL/CD55/AGER/JAG1/GPR183/AHR/ADGRE1/EPHB2/FCER1G/FCGR2A/FCGR2B/FCGR3A/FCGR3B/RFTN1/CLCF1/IL27/MCOLN2/PRKD2/IL4I1/LAMP3/CD274/ANXA1/HFE/CD209/HLA-A/HLA-B/HLA-C/HLA-DOB/HLA-E/HLA-F/HLA-G/HLA-H/HLX/ICAM1/CLEC4D/IGHM/IL1B/IL2RB/IL4R/IL6/IL6ST/IL7R/IL12B/IL12RB1/IL18/IRF1/IRF4/IRF7/JAK1/JAK2/JAK3/JUNB/ARG2/LAG3/LYN/MICB/ASCL2/NBN/NFKB2/ZDHHC9/C1RL/TLR8/IL23A/IL20RB/TREM1/TRPM4/B2M/DUSP22/OTUD7B/SLAMF7/PVR/NECTIN2/RELB/BCL3/SCART1/CEACAM1/CCL19/PRDM1/SECTM1/MYO1G/SAMSN1/NOD2/SEMA4A/NFKBIZ/SLAMF1/STAT3/STAT4/TAP1/TAP2/TRGC1/TRGC2/TRGV3/TRGV5/C1QA/TNF/TNFAIP3/C1QB/C1QC/C1R/C1S/C2/C3/TRAF2/C4B/ZAP70/ZP3/ZC3H12A/PDCD1LG2/UNC93B1/FCAMR/RIPK2/SIGLEC10/SOCS3/RSAD2/CD247/CD7/CD19/CLEC6A/CD80/CD86/CD40/CD69/CD70/CD79B",147,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0009615","response to virus","134/1789","370/12599",0.362162162162162,2.55052044778149,12.3147617133972,5.1466845209839e-27,6.75502343379137e-24,5.00041032933488e-24,"TANK/MICA/ADAR/TRIM22/IRF9/IFITM3/TRIM38/IFI44/IFITM2/TRAF3IP2/LILRB1/IFI44L/RIPK3/PIM2/IRAK3/USP18/TREX1/NLRP3/CGAS/GBP5/TRIM6/CLU/APOBEC3D/DTX3L/APOBEC3H/MLKL/APOBEC3A/APOBEC3F/NT5C2/FMR1/RIGI/IFIT5/IL27/IFI6/HEATR9/SIN3A/GBP1/GBP2/GBP3/TBK1/HIF1A/HES1/STING1/IFI16/IFI27/IFIT2/IFIT1/IFIT3/IFNAR1/IFNAR2/IFNGR2/IL1B/IL6/IL12B/IL12RB1/IL15/CXCL10/IRF1/IRF2/IRF7/ISG20/ITGB8/JAK1/JAK2/GBP7/MICB/CXCL9/MMP12/MOV10/MX1/MX2/NFKB1/OAS1/OAS2/OAS3/HERC5/NT5C3A/TLR8/IL23A/PLSCR1/PMAIP1/PML/TRIM34/DDIT4/SHFL/BATF3/DDX60/MAPK11/EIF2AK2/PSMA2/ZNFX1/RELA/BCL3/APOBEC3G/CCL4/CCL5/CCL8/CCL19/CXCL12/RTP4/IFIH1/AZI2/BNIP3/TRIM21/STAT1/STAT2/BST2/TLR2/TLR3/TNF/TNFAIP3/ACOD1/TRIM25/TRIM26/DHX58/ZC3H12A/ZBP1/UNC93B1/TRIM56/CASP1/PARP9/NLRC5/CUL1/SMARCA5/IFITM1/TRIM5/OASL/NMI/RSAD2/AIM2/CD40/APOBEC3B/ISG15/IKBKE",134,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","110/1789","274/12599",0.401459854014599,2.82727372874786,12.4402341017764,1.19495522553657e-26,1.2547029868134e-23,9.28794672143376e-24,"ADA/MICA/EBI3/BTN3A3/BATF/CXCL13/CD226/TNFSF13B/TRAF3IP2/LILRB1/ARID5A/LILRB4/RIPK3/BTN3A2/TREX1/NLRP3/CLU/CR1L/CSF2RB/CD55/AGER/JAG1/AHR/EPHB2/FCER1G/FCGR2A/FCGR2B/FCGR3A/FCGR3B/RFTN1/CLCF1/IL27/IL4I1/CD274/ANXA1/HFE/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/HLA-H/HLX/ICAM1/IL1B/IL2RB/IL4R/IL6/IL6ST/IL7R/IL12B/IL12RB1/IL18/IRF4/IRF7/JAK1/JAK2/JAK3/JUNB/ASCL2/NBN/NFKB2/ZDHHC9/C1RL/TLR8/IL23A/IL20RB/TRPM4/B2M/DUSP22/PVR/NECTIN2/RELB/BCL3/SCART1/CEACAM1/CCL19/SECTM1/MYO1G/SEMA4A/NFKBIZ/SLAMF1/STAT3/STAT4/TAP2/C1QA/TNF/TNFAIP3/C1QB/C1QC/C1R/C1S/C2/C3/TRAF2/C4B/ZP3/ZC3H12A/UNC93B1/RIPK2/SOCS3/RSAD2/CD7/CD19/CLEC6A/CD80/CD40/CD69/CD70",110,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0051607","defense response to virus","110/1789","283/12599",0.3886925795053,2.73736042995376,12.0251756502467,2.96370468744969e-25,2.59324160151848e-22,1.91964872036215e-22,"TANK/MICA/ADAR/TRIM22/IRF9/IFITM3/TRIM38/IFITM2/TRAF3IP2/LILRB1/IFI44L/RIPK3/USP18/TREX1/CGAS/GBP5/TRIM6/APOBEC3D/DTX3L/APOBEC3H/MLKL/APOBEC3A/APOBEC3F/NT5C2/RIGI/IFIT5/IL27/IFI6/SIN3A/GBP1/GBP2/GBP3/TBK1/STING1/IFI16/IFI27/IFIT2/IFIT1/IFIT3/IFNAR2/IFNGR2/IL1B/IL6/IL12B/IL12RB1/IL15/CXCL10/IRF1/IRF2/IRF7/ISG20/GBP7/MICB/CXCL9/MMP12/MOV10/MX1/MX2/OAS1/OAS2/OAS3/HERC5/NT5C3A/TLR8/IL23A/PLSCR1/PMAIP1/PML/TRIM34/DDIT4/SHFL/DDX60/EIF2AK2/ZNFX1/RELA/APOBEC3G/RTP4/IFIH1/AZI2/BNIP3/TRIM21/STAT1/STAT2/BST2/TLR2/TLR3/TNF/TNFAIP3/ACOD1/TRIM25/TRIM26/DHX58/ZC3H12A/ZBP1/UNC93B1/TRIM56/CASP1/PARP9/NLRC5/CUL1/SMARCA5/IFITM1/TRIM5/OASL/RSAD2/AIM2/CD40/APOBEC3B/ISG15/IKBKE",110,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0031349","positive regulation of defense response","155/1789","482/12599",0.321576763485477,2.26469851489856,11.5174437284158,9.6433568457165e-25,7.23251763428737e-22,5.35387571043388e-22,"RASGRP1/OPTN/TNIP1/NOD1/HEXIM1/CD226/SMPDL3A/IRAK3/TREX1/NLRP3/CGAS/GBP5/TRIM6/LRRK2/CCR7/MAP3K8/C2CD4A/CYLD/AGTR1/EREG/ETS1/FCER1G/SARM1/RFTN1/FPR2/RIGI/RICTOR/SIN3A/STAP1/CLEC4E/GBP1/GBP2/GBP3/TREML4/FFAR3/FFAR2/TBK1/CD274/HCK/HLA-C/HLA-E/HLA-F/HLA-G/BIRC3/HSPA1A/HSPA1B/STING1/IFI16/IFI35/TICAM2/LILRA5/IL1B/IL6/IL6ST/IL12B/IL15/IL18/IDO1/IRAK2/IRF1/IRF4/IRF7/KIR2DL4/C2CD4B/LAG3/LBP/LGALS2/LRCH4/LYN/MDK/MEFV/MMP12/NFKB1/NFKBIA/NINJ1/NKG7/OAS1/OAS3/OSM/ZDHHC9/IRAK4/TLR8/IL23A/CFP/PLSCR1/RNF31/TRIM62/DDX60/PRKCE/MAPK11/EIF2AK2/PELI1/ZNFX1/PTGER4/PTGS2/AARS2/PVR/NECTIN2/RAB13/RELA/S100A8/S100A9/S100A12/CCL1/CCL3/CCL5/CCL7/CCL15/CCL24/NOD2/IFIH1/NFKBIZ/SRC/STAT3/TLR2/TLR3/TNF/TNFAIP3/TNFRSF1A/C3/ACOD1/WNT5A/TRIM25/ZP3/DHX58/GSDMD/CCDC134/TNIP3/TASL/ZBP1/UNC93B1/TRIM56/CASP1/CASP3/PARP9/CASP4/CASP5/CASP8/NLRC5/TRIM5/CAV1/OASL/TRADD/RIPK1/RIPK2/NMI/RSAD2/OSMR/CD14/CLEC6A/AIM2/CD47/GNA14/IKBKE/TRIL",155,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0050729","positive regulation of inflammatory response","72/1789","146/12599",0.493150684931507,3.47300473977197,12.2266507774843,3.23920452944255e-24,2.12572797244667e-21,1.57357146351341e-21,"TNIP1/NLRP3/GBP5/LRRK2/CCR7/MAP3K8/C2CD4A/AGTR1/ETS1/FCER1G/STAP1/GBP1/GBP2/GBP3/FFAR3/FFAR2/HLA-E/IFI35/LILRA5/IL1B/IL6/IL6ST/IL12B/IL15/IL18/IDO1/C2CD4B/LBP/LGALS2/MDK/MEFV/NFKB1/NFKBIA/NINJ1/NKG7/OSM/ZDHHC9/IL23A/PTGER4/PTGS2/S100A8/S100A9/S100A12/CCL1/CCL3/CCL5/CCL7/CCL15/CCL24/NFKBIZ/STAT3/TLR2/TLR3/TNF/TNFRSF1A/C3/WNT5A/ZP3/GSDMD/ZBP1/CASP1/CASP3/CASP4/CASP5/CASP8/TRADD/RIPK1/NMI/OSMR/AIM2/CD47/GNA14",72,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0050727","regulation of inflammatory response","118/1789","326/12599",0.361963190184049,2.54911919124027,11.5281970833147,7.29435761607807e-24,4.25504194271221e-21,3.14979746415909e-21,"ADA/CDH5/TNIP1/CELF1/PLK2/USP18/TREX1/NLRP3/GBP5/LRRK2/CCR7/MAP3K8/ADORA2A/FAM76B/C2CD4A/CYLD/AGER/AGTR1/AHR/ETS1/FCER1G/FCGR2B/SBNO2/SYT11/FPR2/RICTOR/STAP1/GBP1/GBP2/GBP3/FFAR3/FFAR2/ANXA1/HCK/AOAH/HLA-E/BIRC3/STING1/IFI16/IFI35/LILRA5/IL1B/IL2RA/IL6/IL6ST/IL10RA/IL12B/IL15/IL18/IDO1/JAK2/C2CD4B/LBP/LGALS2/LYN/MDK/MEFV/CD200/NFKB1/NFKBIA/NINJ1/NKG7/OSM/ZDHHC9/IL23A/IL20RB/PSMA6/PTGER4/PTGS2/PTPN2/RELA/S100A8/S100A9/S100A12/CCL1/CCL3/CCL5/CCL7/CCL15/CCL24/SLC39A8/NOD2/NFKBIZ/NCF1/SRC/STAT3/TLR2/TLR3/TNF/TNFAIP3/TNFAIP6/TNFRSF1A/C3/ACOD1/WNT5A/YES1/ZP3/RHBDF2/GSDMD/ZBP1/CASP1/CASP3/CASP4/CASP5/CASP8/CST7/TRADD/RIPK1/IER3/SPHK1/SIGLEC10/SOCS3/NMI/OSMR/AIM2/PTGES/CD47/GNA14",118,"GO_BP_up",NA,NA,NA,NA,NA,NA
"GO:0001819","positive regulation of cytokine production","141/1789","429/12599",0.328671328671329,2.31466186133598,11.2704315686307,1.37058786345848e-23,7.19558628315701e-21,5.32653725461969e-21,"TANK/EBI3/LILRB2/NOD1/BATF/CD226/HPSE/LILRB1/ARID5A/BTN3A2/BTN3A1/IRAK3/TMEM106A/NLRP3/CGAS/GBP5/TRIM6/CLU/LRRK2/CCR7/CD55/AGER/EPHB2/EREG/FCER1G/FCGR2A/FCGR2B/FCGR3A/RFTN1/FLT4/RIGI/PANX1/IL27/ALOX15B/MCOLN2/PRKD2/CLEC4E/HMSD/FFAR3/FFAR2/TBK1/CD274/ANXA1/HIF1A/HLA-A/HLA-E/HLA-F/HLA-G/HSPA1A/HSPA1B/HTR2B/STING1/IFI16/TICAM2/LILRA5/IL1A/IL1B/IL4R/IL6/IL6ST/IL7/IL12B/IL12RB1/IL15/IL18/IDO1/IRF1/IRF4/IRF7/JAK2/KIR2DL4/LBP/MDK/MEFV/MMP12/CD200/OAS1/OAS2/OAS3/OSM/TLR8/PDE4B/PDE4D/IL23A/IL20RB/XAF1/MAPK11/EIF2AK2/PANX2/B2M/PELI1/PTGER4/PTGS2/HEG1/PTPRJ/RELA/BCL3/CCL1/CCL3/CCL19/SECTM1/CRLF2/NOD2/IFIH1/SLAMF1/SIGLEC1/STAT1/STAT3/THBS1/TLR2/TLR3/TNF/C3/TRAF2/C3AR1/WNT5A/ZP3/DHX58/GSDMD/SLC7A5/UNC93B1/TRIM56/CASP1/CASP8/RUNX1/SERPINB7/RIPK1/RIPK2/SPHK1/RSAD2/IL32/CD7/CD14/CLEC6A/CD80/CD86/AIM2/CD40/ISG15/IKBKE/CD58",141,"GO_BP_up",NA,NA,NA,NA,NA,NA
